Title,Author,Genre,Year,Publisher,Summary
"Изменения, которые исцеляют",Генри Клауд,Психология,2002,Мирт,"Эта книга обращена к тем, кто безуспешно борется со своими проблемами, не находя выхода. Она поможет понять, где надо искать причину страданий, проведет по пути обретения самого себя и объяснит, как завершить этот процесс, чтобы стать полноценной личностью."
Человек перед Богом,Митрополит Антоний Сурожский,Религия,2012,"Фонд ""Духовное наследие митрополита Антония Сурожского""","Информация о первоисточнике Интернет-издание Электронная библиотека ""Митрополит Сурожский Антоний"" (mitras.ru/). Книга ""Человек пред Богом"" составлена из устных выступлений митрополита Антония и охватывает период с 1969 по 1991 годы. Это беседы на радио (в русских передачах Би-би-си) и в московских квартирах во время приездов Владыки Антония в Россию, а также внебогослужебные беседы в лондонском приходе в периоды великопостных и рождественских говений. Беседы Антония Сурожского объединены общим настроением предстояния перед Богом. Эта книга требует внутренней тишины и медленного чтения: подобно тем паузам, которые делал сам Владыка во время бесед в своей общине."
Аномалии родительской любви,Игумен Евмений,Православные книги,2009,СВЕТ ПРАВОСЛАВИЯ,"Никто из нас не является совершенным родителем, и это значит, что, в той или иной степени, мы можем негативно влиять на своего ребенка, неосознанно решая за его счет свои личные проблемы, препятствуя его гармоничному психическому и нравственному становлению. Книга, которую вы держите в руках, помогает отделить злаки от плевел, отличать истинную родительскую любовь от деструктивной, замаскированной под любовь, называть вещи своими именами. Автор рассказывает о теневых сторонах родительской любви, а точнее, — о тех вещах, о которых мы зачастую избегаем не только говорить, но и думать. Книга просто и доступно рассказывает о самом главном: как, посредством каких конкретных действий построить мир в своем доме, как восстановить нарушенные связи между самыми близкими, как перестроить, выправить искаженные отношения. Это книга о том, как восстановить главную связь: найти Небесного Отца, вернуться к Богу."
Путешествия души,Майкл Ньютон,Старинная литература ,2013,Будущее Земли,Неизвестно
48 законов власти,Роберт Грин,Старинная литература ,2014,Рипол Классик,Неизвестно
mertvye-igry4,Елена Звездная,Старинная литература ,2016,Елена Звездная,Неизвестно
Мистер Денежный Мешок,Ви Киланд,Старинная литература ,2017,"ООО «ЛитРес», www.litres.ru","Перед Бьянкой стояла амбициозная задача – взять интервью у финансового магната Декстера Труитта, который всегда сторонился прессы. Однако все пошло кувырком: интервью Бьянки без объяснения причин отменили, и она умудрилась застрять в лифте с местным курьером Джеем (спасибо хотя бы остроумным и слишком красивым для простого парня). Вместе они от души поругали высокомерного богатея Труитта и договорились вместе перекусить в кафе. Но Бьянку ждал небольшой сюрприз."
Правило в 10 раз больше,Грант Кардон,Старинная литература ,2017,АСТ,Неизвестно
Бегущая с волками. Женский архетип в мифах и сказаниях,Кларисса Пинкола Эстес,Психология,2007,София,"Переведенная более чем на двадцать пять языков, книга Клариссы Эстес уже несколько лет занимает одно из первых мест в мировом книжном рейтинге. Эта книга о женском архетипе на самом деле универсальна. Замените понятие ""Первозданная Женщина"" на ""Первозданный Мужчина"" – и вы увидите, что польза, которую принесет эта книга вашей душе, не имеет половой принадлежности. Внутри каждой женщины живет первозданное, естественное существо, полное добрых инстинктов, сострадательной созидательности и извечной мудрости. Но это существо – Дикая Женщина – находится на грани вымирания. ""Цивилизующее"" влияние общества, к сожалению, подавляет в ребенке все ""дикое"", то есть естественное. Кларисса Эстес, более двадцати лет практикующая и преподающая психоанализ Юнга и исследующая мифы разных культур, показывает, как можно возродить исконный Дух женщины посредством ""психоархеологических раскопок"" в области женского бессознательного. Здоровая, инстинктивная, ясновидящая, исцеляющая архетипическая Дикая Женщина живет полнокровной жизнью в древних мифах и сказках. Но она может снова проявиться в душе каждой женщины в условиях современного мира."
Командир Красной Армии.,Поселягин В.Г.,Старинная литература ,0101,С.И.,Неизвестно
Четвертая мировая война. Будущее уже рядом,Андрей Владимирович Курпатов,Философия,2019,Капитал,"В ближайшие десятилетия мир переживёт самую значительную трансформацию за всю историю человечества. Технологии радикально изменят политику и экономику, среду обитания и отношения между людьми. Изменимся и мы сами. До неузнаваемости. Эта книга расскажет о том, почему искусственный интеллект — не выдумка, о том, как это работает, и почему он лучше наших мозгов. Вы узнаете, как он думает, и к каким последствиям приведут новейшие научные открытия. Вас ждут все сценарии возможного будущего… Поможет ли это вам подготовиться к новой реальности? Нет. Но вы серьезно задумаетесь о том, что происходит сейчас!"
Компьютер! Большой понятный самоучитель. Все подробно и «по полочкам»,Иван Жуков,Прочая околокомпьтерная литература ,2017,АСТ,"У вас появился компьютер, и вы очень хотите научиться на нем работать. Но вы – человек, который стремится разобраться не «по верхам», чтобы просто выполнять элементарные действия, вы хотите на самом деле освоить все преимущества этой умной машины, чтобы понять «суть», а потом легко управлять любыми новыми программами. Поэтому вам нужен не просто самоучитель, а очень подробный и понятный самоучитель, который поможет стать опытным пользователем. И такая книга перед вами! Вы найдете здесь то, что не написано ни в одной другой книге по обучению работе на компьютере! Вы начнете с элементарных действий – как включать и выключать компьютер, как запускать программы, как пользоваться мышкой, печатать текст. Далее вы освоите работу в разных программах, научитесь сами их «скачивать» и устанавливать, узнаете, как быстро найти информацию и совершать покупки в сети Интернет, бесплатно звонить по всему миру при помощи Skype, обмениваться с друзьями сообщениями и фото в социальных сетях. В этой книге – самая подробная информация, которая поможет вам разобраться в работе программ и стать уверенным пользователем! И при этом все понятно, разложено по полочкам, снабжено иллюстрациями и схемами. Эта книга будет полезна и ребенку, и пенсионеру."
"Чистый код. Создание, анализ и рефакторинг",Роберт Сесил Мартин,Программирование,2019,Питер,"Даже плохой программный код может работать. Однако если код не является «чистым», это всегда будет мешать развитию проекта и компании-разработчика, отнимая значительные ресурсы на его поддержку и «укрощение». Эта книга посвящена хорошему программированию. Она полна реальных примеров кода. Мы будем рассматривать код с различных направлений: сверху вниз, снизу вверх и даже изнутри. Прочитав книгу, вы узнаете много нового о коде. Более того, вы научитесь отличать хороший код от плохого. Вы узнаете, как писать хороший код и как преобразовать плохой код в хороший. Книга состоит из трех частей. В первой части излагаются принципы, паттерны и приемы написания чистого кода; приводится большой объем примеров кода. Вторая часть состоит из практических сценариев нарастающей сложности. Каждый сценарий представляет собой упражнение по чистке кода или преобразованию проблемного кода в код с меньшим количеством проблем. Третья часть книги – концентрированное выражение ее сути. Она состоит из одной главы с перечнем эвристических правил и «запахов кода», собранных во время анализа. Эта часть представляет собой базу знаний, описывающую наш путь мышления в процессе чтения, написания и чистки кода.   Примечание верстальщика:"
Программирование на Python [Том 1],Марк Лутц,Программирование,2011,Символ-Плюс,Неизвестно
Цифровое золото: невероятная история Биткойна,Натаниел Поппер,Прочая околокомпьтерная литература ,2016,Диалектика,"Биткойн – это пиринговая платежная система и финансовая технология, ломающая многие привычные представления о деньгах и их роли в обществе. В этой книге представлена невероятная история о том, как идея подобной системы, изначально интересная лишь маленькой группке энтузиастов, постепенно привлекла к себе внимание всего мира. В этой истории принимают участие самые неожиданные персонажи: финский студент и аргентинский миллионер, китайский предприниматель и программист-создатель Netscape, неудавшийся физик, ставший онлайн-наркобароном, и близнецы-плейбои, засудившие главу Facebook, акулы венчурного капитала и руководители крупнейших мировых банков, прокуроры, спецагенты и сенаторы США, ну и конечно, сам отец-основатель Биткойна, известный под псевдонимом Сатоши Накамото. И хотя многих ставит в тупик сама мысль о цифровой валюте, за которой не стоит мощное государство или центробанк, энтузиасты Биткойна во всем мире, от Пекина до Буэнос-Айреса, верят в потенциальную возможность этой финансовой системы стать всемирно признанными деньгами цифровой эпохи. Книга адресована тем, кто интересуется современными финансовыми системами, и в частности, криптовалютными технологиями."
"JavaScript. Подробное руководство, 6-е издание",Дэвид Флэнаган,Базы данных,2012,Символ-Плюс,"C момента выхода первого издания в 1996 году книга ""JavaScript: Подробное руководство"" превратилась в библию программистов на JavaScript. За эти годы было издано более 500000 экземпляров, и веб-разработчики по-прежнему с восторгом отзываются о ней. Эта книга - одновременно и руководство программиста, и полноценный справочник по базовому языку JavaScript и клиентским прикладным интерфейсам, предоставляемым веб-броузерами."
Самоучитель работы на компьютере. Максимально просто и быстро,Иван Жуков,Прочая околокомпьтерная литература ,2017,АСТ,"Вам нужно освоить работу на компьютере, но вы уверены, что ничего не получится, вы боитесь что-нибудь сломать, не понимаете объяснения детей или знакомых? Тогда эта книга для вас! Книги Ивана Жукова по праву заслужили звание самых простых и доступных людям любого возраста и уровня подготовки. Объяснения начинаются с самых азов – включения и выключения компьютера, работы с мышкой и клавиатурой. Максимально быстро и комфортно вы научитесь работать с фотографиями – сохранять их, обрабатывать, отправлять друзьям и знакомым, смотреть любимые фильмы и сериалы, искать информацию в сети Интернет, заведете страничку в социальной сети ВКонтакте и сможете бесплатно звонить и отправлять письма и сообщения людям по всему миру. Множество иллюстраций, удобный карманный формат."
C# 4.0: полное руководство,Герберт Шилдт,Программирование,2011,"ООО ""И.Д. Вильямс""","В этом полном руководстве по C# 4.0 - языку программирования, разработанному специально для среды .NET, - детально рассмотрены все основные средства языка: типы данных, операторы, управляющие операторы, классы, интерфейсы, методы, делегаты, индексаторы, события, указатели, обобщения, коллекции, основные библиотеки классов, средства многопоточного программирования и директивы препроцессора. Подробно описаны новые возможности C#, в том числе PLINQ, библиотека TPL, динамический тип данных, а также именованные и необязательные аргументы. Это справочное пособие снабжено массой полезных советов авторитетного автора и сотнями примеров программ с комментариями, благодаря которым они становятся понятными любому читателю независимо от уровня его подготовки. Книга рассчитана на широкий круг читателей, интересующихся программированием на C#.Введите сюда краткую аннотацию"
Практикум по информационным технологиям в профессиональной деятельности,Елена Викторовна Михеева,Прочая научная литература ,2013,Литагент Проспект (без drm),"Учебное пособие предназначено для приобретения практических навыков работы с наиболее часто используемыми в профессиональной деятельности программными продуктами. Содержит более 300 заданий, соответствующих основным разделам учебника «Информационные технологии в профессиональной деятельности» того же автора. Задания снабжены подробными указаниями для исполнения и уточняющими видами экранов соответствующей программы для наглядности. Для закрепления и проверки полученных навыков практикум содержит дополнительные задания. Максимальный эффект дает параллельное использование учебника и практикума. Для студентов средних профессиональных учебных заведений."
VBA для чайников,Стив Каммингс,Программирование,2002,"Компьютерное издательство ""Диалектика""","Эта книга поможет освоить интегрированную среду разработки VBA и научиться программировать в VBA с использование объектов, их свойств, методов и событий. Обсуждаемые приемы программирования иллюстрируются примерами, которые можно сразу же опробовать на практике. Полученные знания вы сможете применить как для настройки и усовершенствования популярный офисных приложений, включая приложения Office XP, так и для создания собственных приложений. Книга рассчитана на тех, кто собирается быстро и без лишних усилий научиться программировать для Windows, используя VBA."
Подпольный интернет. Темная сторона мировой паутины,Джейми Бартлетт,foreign_comp,2017,Литагент 5 редакция,"Интернет – это не только социальные сети, интернет-магазины и поисковые сайты. Есть и обратная сторона интернета – своего рода цифровое подполье, где царит полная анонимность, а содержимое сайтов открыто только для своих. Там можно найти все что угодно, в том числе и то, что запрещено законом. И в этой книге будут раскрыты тайны этого «подпольного интернета»."
"Добавь клиента в друзья. Продвижение в Telegram, WhatsApp, Skype и других мессенджерах",Инди Гогохия,Интернет,2018,Литагент 5 редакция,"Времена меняются. Скорость информационного потока набирает обороты, приходится конкурировать за внимание пользователей, а отношения с клиентом видоизменяются, обретая цифровой шлейф. Чтобы построить крепкие отношения, нужно сократить информационную пропасть между вами и клиентом. Сделать его жизнь легче, счастливее. Будьте там, где он органически проводит время, не строя сложные коммуникации. Те, кто умеет быстро внедрять новое, будут всегда впереди. В этой книге вы найдете список практических инструментов, краткий обзор возможностей месседжеров и кейсы. Четко, емко, без воды. Руководство полезно для бизнеса и для развития личного бренда."
Код. Тайный язык информатики,Чарльз Петцольд,Прочая научная литература ,2019,"Манн, Иванов и Фербер","Книга «Код» представляет собой увлекательное путешествие в прошлое – мир электрических устройств и телеграфных машин. Знакомство с прообразами первых компьютеров позволит читателю с любым уровнем технической подготовки узнать о том, как работают современные электронные устройства."
Язык программирования C++. Пятое издание,Стенли Б. Липпман,Программирование,2014,"Издательский дом ""Вильямс""","Лучшее руководство по программированию и справочник по языку, полностью пересмотренное и обновленное под стандарт С++11! Вы держите в руках новое издание популярного и исчерпывающего бестселлера по языку программирования С++, которое было полностью пересмотрено и обновлено под . Оно поможет вам быстро изучить язык и использовать его весьма эффективными и передовыми способами. В соответствии с самыми передовыми и современными методиками изложения материала авторы демонстрируют использование базового языка и его стандартной библиотеки для разработки эффективного, читабельного и мощного кода. С самого начала этой книги читатель знакомится со стандартной библиотекой С++, ее самыми популярными функциями и средствами, что позволяет сразу же приступить к написанию полезных программ, еще не овладев всеми нюансами языка. Большинство примеров из книги было пересмотрено так, чтобы использовать новые средства языка и продемонстрировать их наилучшие способы применения. Эта книга — не только проверенное руководство для новичков в С++, она содержит также авторитетное обсуждение базовых концепций и методик языка С++ и является ценным ресурсом для опытных программистов, особенно желающих побыстрей узнать об усовершенствованиях С++11. Стенли Б. Липпман Жози Лажойе Барбара Э. Му • Узнайте, как использовать новые средства языка С++11 и стандартной библиотеки для быстрого создания надежных программ, а также ознакомьтесь с высокоуровневым программированием • Учитесь на примерах, в которых показаны передовые стили программирования и методики проектирования • Изучите принципы и узнайте почему язык С++11 работает именно так • Воспользуйтесь множеством перекрестных ссылок, способных помочь вам объединить взаимосвязанные концепции и проникнуть в суть • Ознакомьтесь с современными методиками обучения и извлеките пользу из упражнений, в которых подчеркиваются ключевые моменты, позволяющие избежать проблем • Освойте лучшие методики программирования и закрепите на практике изученный материал Исходный код примеров можно загрузить с веб-страницы книги на сайте издательства по адресу: http://www.williamspublishing.com"
Системное программное обеспечение. Лабораторный практикум,Алексей Юрьевич Молчанов,Программирование,2005,Array Издательство «Питер»,"В книге рассматриваются базисные теоретические основы, необходимые для построения компиляторов, основные технологические приемы и методы их реализации. В ней приведены различные варианты заданий для выполнения лабораторного практикума по курсу «Системное программное обеспечение», а также примеры выполнения этих заданий. В каждом примере подробно рассматриваются все особенности его выполнения, как на этапе подготовки необходимой математической базы, так и на этапе программной реализации. В лабораторных работах автор обращает внимание на основные сложности, связанные с ее выполнением, а также на возможные типичные ошибки и недочеты, дает рекомендации по возможностям программной реализации, отличным от кода, приводимого в примерах. Книга ориентирована на студентов, обучающихся в технических вузах по специальностям, связанным с вычислительной техникой. Но она будет также полезна всем, чья деятельность так или иначе касается разработки программного обеспечения."
"Чистый код. Создание, анализ и рефакторинг",Роберт Сесил Мартин,Программирование,2019,Питер,"Даже плохой программный код может работать. Однако если код не является «чистым», это всегда будет мешать развитию проекта и компании-разработчика, отнимая значительные ресурсы на его поддержку и «укрощение». Эта книга посвящена хорошему программированию. Она полна реальных примеров кода. Мы будем рассматривать код с различных направлений: сверху вниз, снизу вверх и даже изнутри. Прочитав книгу, вы узнаете много нового о коде. Более того, вы научитесь отличать хороший код от плохого. Вы узнаете, как писать хороший код и как преобразовать плохой код в хороший. Книга состоит из трех частей. В первой части излагаются принципы, паттерны и приемы написания чистого кода; приводится большой объем примеров кода. Вторая часть состоит из практических сценариев нарастающей сложности. Каждый сценарий представляет собой упражнение по чистке кода или преобразованию проблемного кода в код с меньшим количеством проблем. Третья часть книги – концентрированное выражение ее сути. Она состоит из одной главы с перечнем эвристических правил и «запахов кода», собранных во время анализа. Эта часть представляет собой базу знаний, описывающую наш путь мышления в процессе чтения, написания и чистки кода.   Примечание верстальщика:"
UNIX: взаимодействие процессов,Уильям Ричард Стивенс,Программирование,2003,Питер,"Книга написана известным экспертом по операционной системе UNIX и посвящена описанию одной из форм межпроцессного взаимодействия, IPC, с использованием которой создается большинство сложных программ. В ней описываются четыре возможности разделения решаемых задач между несколькими процессами или потоками одного процесса: передача сообщений, синхронизация, разделяемая память, удаленный вызов процедур. Книга содержит большое количество иллюстрирующих примеров и может использоваться как учебник по IPC, и как справочник для опытных программистов."
Учебное пособие по курсу «Нейроинформатика»,Е. М. Миркес,Математика,2002,КРАСНОЯРСКИЙ ГОСУДАРСТВЕННЫЙ ТЕХНИЧЕСКИЙ УНИВЕРСИТЕТ,"Данное учебное пособие подготовлено на основе курса лекций по дисциплине «Нейроинформатика», читавшегося с 1994 года на факультете Информатики и вычислительной техники Красноярского государственного технического университета. Несколько слов о структуре пособия. Далее во введении приведены по данному курсу, . Следующие главы содержат одну или несколько лекций. Материал, приведенный в главах, несколько шире того, что обычно дается на лекциях. В приложения вынесены описания программ, используемых в данном курсе ( и ), и , включающий в себя два уровня — уровень запросов компонентов универсального нейрокомпьютера и уровень языков описания отдельных компонентов нейрокомпьютера. Данное пособие является электронным и включает в себя программы, необходимые для выполнения лабораторных работ."
Основы классической криптологии. Секреты шифров и кодов,Михаил Васильевич Адаменко,Технические науки,2012,ДМК Пресс,"Предлагаемая вниманию читателей книга посвящена вопросам, касающимся истории появления и развития шифров и кодов, а также основам криптографии криптоанализа и криптологии. Особое внимание уделено особенностям использования кедов и шифров различной степени сложности, которые каждый человек при необходимости может применяла в повседневной жизни. В первой главе в простой и доступной форме разъясняется значение понятий «код» и «шифр», а также приводятся краткие сведения об основных терминах определениях, используемых при работе с кодами и шифрами. Во второй и третьей главах коротко изложены наиболее знаменательные и интересные события из истории появления различных кодов, а также из истории криптографии, Советы по использованию наиболее известных кодов даны в четвертой главе. Разделы пятой главы предлагаемой книги посвящены вопросам практического применения простых шифров в повседневной жизни. В приложениях приводятся некоторые наиболее часто применяемые в различных областях жизнедеятельности человека коды Это, в первую очередь, азбука Морзе и азбука Брайля, а также семафорная азбука и флажный код Причем даны не только русские, но и международные варианты этих кодов. Все главы и разделы сопровождаются поясняющими рисунками и таблицами благодаря которым восприятие и усвоение изложенной информации происходит значительно эффективнее."
Программирование на Python [Том 1],Марк Лутц,Программирование,2011,Символ-Плюс,Неизвестно
Простой Python. Современный стиль программирования,Билл Любанович,Программирование,2016,Питер,"Эта книга идеально подходит как для начинающих программистов, так и для тех, кто только собирается осваивать Python, но уже имеет опыт программирования на других языках. В ней подробно рассматриваются самые современные пакеты и библиотеки Python. Стилистически издание напоминает руководство с вкраплениями кода, подробно объясняя различные концепции Python 3. Под обложкой вы найдете обширный материал от самых основ языка до сравнительно сложных и узких тем. Прочитав эту книгу, вы не только убедитесь, что Python — это вкусно, но и освоите искусство тестирования, отладки, многократного использования кода, а также научитесь применять Python в различных предметных областях."
Программирование на языке Пролог для искусственного интеллекта,Иван Братко,Программирование,1990,Мир,"Книга известного специалиста по программированию (Югославия), содержащая основы языка Пролог и его приложения для решения задач искусственного интеллекта. Изложение отличается методическими достоинствами — книга написана в хорошем стиле, живым языком. Книга дополняет имеющуюся на русском языке литературу по языку Пролог. Для программистов разной квалификации, специалистов по искусственному интеллекту, для всех изучающих программирование."
C# 4.0: полное руководство,Герберт Шилдт,Программирование,2011,"ООО ""И.Д. Вильямс""","В этом полном руководстве по C# 4.0 - языку программирования, разработанному специально для среды .NET, - детально рассмотрены все основные средства языка: типы данных, операторы, управляющие операторы, классы, интерфейсы, методы, делегаты, индексаторы, события, указатели, обобщения, коллекции, основные библиотеки классов, средства многопоточного программирования и директивы препроцессора. Подробно описаны новые возможности C#, в том числе PLINQ, библиотека TPL, динамический тип данных, а также именованные и необязательные аргументы. Это справочное пособие снабжено массой полезных советов авторитетного автора и сотнями примеров программ с комментариями, благодаря которым они становятся понятными любому читателю независимо от уровня его подготовки. Книга рассчитана на широкий круг читателей, интересующихся программированием на C#.Введите сюда краткую аннотацию"
"С++ для ""чайников"" .",Стефан Рэнди Дэвис,Технические науки,2007,"Издательский дом ""Вильямс"". Компьютерное издательство ""Диалектика""",empty-line 1 empty-line 4
